Survey,TVD [ft] PWP,TVD [ft] Sim,E[ft] PWP,E[ft] Sim,N[ft] PWP,N [ft] Sim
116,1815.90,1830.00,1884.43,1844.09,-245.50,-245.59
117,1753.01,1764.19,2000.66,1958.70,-246.20,-245.65
118,1747.17,1758.21,2011.19,1969.12,-246.05,-245.65
119,1741.57,1752.17,2021.90,1979.64,-245.56,-245.66
120,1736.20,1746.10,2032.78,1990.20,-244.75,-245.66
121,1731.07,1740.01,2043.83,2000.81,-243.63,-245.67
122,1726.15,1733.93,2055.03,2011.50,-242.21,-245.62
123,1721.46,1727.98,2066.37,2022.33,-240.50,-245.42
124,1716.99,1722.16,2077.85,2033.34,-238.51,-245.03
125,1712.73,1716.51,2089.44,2044.50,-236.24,-244.44
126,1708.68,1711.00,2101.14,2055.83,-233.71,-243.65
127,1704.84,1705.66,2112.93,2067.29,-230.93,-242.66
128,1701.20,1700.47,2124.81,2078.92,-227.90,-241.45
129,1697.76,1695.47,2136.76,2090.66,-224.64,-240.03
130,1694.51,1690.66,2148.77,2102.51,-221.15,-238.38
131,1691.46,1686.03,2160.83,2114.45,-217.45,-236.50
132,1688.59,1681.58,2172.93,2126.55,-213.54,-234.39
133,1685.91,1677.35,2185.06,2138.67,-209.43,-232.05
134,1683.41,1673.32,2197.21,2150.88,-205.14,-229.46
135,1681.08,1669.51,2209.36,2163.10,-200.67,-226.65
136,1678.93,1665.91,2221.50,2175.39,-196.03,-223.59
137,1676.95,1662.53,2233.63,2187.68,-191.23,-220.30
138,1675.13,1659.37,2245.72,2200.02,-186.28,-216.77
139,1673.47,1656.45,2257.78,2212.29,-181.19,-213.01
140,1671.97,1653.76,2269.78,2224.54,-175.98,-209.01
141,1670.63,1651.31,2281.72,2236.71,-170.64,-204.81
142,1669.43,1649.08,2293.59,2248.85,-165.19,-200.37
143,1668.38,1647.10,2305.37,2260.84,-159.63,-195.75
144,1667.47,1645.35,2317.05,2272.78,-153.99,-190.91
145,1666.70,1643.83,2328.62,2284.61,-148.26,-185.86
146,1666.07,1642.55,2340.07,2296.22,-142.46,-180.67
147,1665.57,1641.48,2351.39,2307.76,-136.60,-175.27
148,1665.19,1640.65,2362.57,2319.08,-130.68,-169.74
149,1664.94,1640.04,2373.60,2330.22,-124.71,-164.05
150,1664.81,1639.64,2384.45,2341.13,-118.72,-158.26
151,1664.80,1639.45,2395.14,2351.85,-112.69,-152.33
152,1664.89,1639.45,2405.63,2362.33,-106.65,-146.31
153,1665.10,1639.66,2415.92,2372.57,-100.60,-140.20
154,1665.41,1640.04,2426.00,2382.57,-94.55,-134.01
155,1665.82,1640.61,2435.86,2392.29,-88.52,-127.79
156,1666.33,1641.33,2445.49,2401.72,-82.51,-121.54
157,1666.94,1642.21,2454.87,2410.87,-76.53,-115.28
158,1667.63,1643.24,2464.00,2419.74,-70.59,-109.02
159,1668.41,1644.39,2472.85,2428.29,-64.70,-102.79
160,1669.27,1645.67,2481.43,2436.57,-58.87,-96.58
161,1670.21,1647.05,2489.72,2444.49,-53.10,-90.47
162,1671.22,1648.52,2497.70,2452.10,-47.42,-84.42
163,1672.31,1650.06,2505.37,2459.41,-41.83,-78.46
164,1673.46,1651.59,2512.72,2466.43,-36.33,-72.67
165,1674.67,1653.08,2519.73,2473.24,-30.94,-67.04
166,1675.95,1654.51,2526.39,2479.77,-25.66,-61.65
167,1677.28,1655.88,2532.70,2486.01,-20.52,-56.49
168,1705.77,1683.38,2656.45,2610.53,83.33,46.77
169,1734.25,1711.16,2780.20,2734.81,187.17,150.16
170,1762.74,1739.14,2903.96,2858.93,291.02,253.68
171,1791.22,1767.26,3027.71,2982.95,394.86,357.29
172,1812.43,1790.83,3132.94,3086.46,479.93,443.87
SD,485.34,493.89,998.60,980.04,126.09,124.39
R^2,0.998937,,0.999919,,0.986462,
